file_path,symbol,line,classification,confidence,evidence,recommended_action
src/hooks/useRealTimeData.ts,useCustomers,153,REQUIRES_REVIEW,Low,"Also present in useSupabaseQuery.ts; external imports useSupabaseQuery variant.","Review." 
src/hooks/useRealTimeData.ts,useProducts,169,REQUIRES_REVIEW,Medium,"Also present in useSupabaseQuery; InventoryPageNew imports useProducts from useSupabaseQuery.ts.","Review before any removal." 
src/hooks/useSupabaseQuery.ts,useSupabaseQuery,97,FALSE_POSITIVE / INTENTIONAL_EXPORT,High,"Hook is widely used (multiple call sites in src/app/pages, InventoryPageNew imports it).","Keep." 
src/hooks/useSupabaseQuery.ts,useCustomers,215,FALSE_POSITIVE / INTENTIONAL_EXPORT,High,"Used by pages and components (see InventoryPageNew and ExecutiveDashboard).","Keep." 
src/lib/supabase.ts,Database,64,FALSE_POSITIVE / INTENTIONAL_EXPORT,High,"Type exported and used across the codebase (many references in hooks/services).","Keep." 
src/lib/supabase.ts,default,238,FALSE_POSITIVE / INTENTIONAL_EXPORT,High,"Default export (supabase client) used by many services and hooks (search results).","Keep." 
src/pages/Login.tsx,default,10,FALSE_POSITIVE / INTENTIONAL_EXPORT,High,"Page default export used by routes (App.tsx).","Keep." 
src/services/authService.ts,signIn,35,FALSE_POSITIVE / INTENTIONAL_EXPORT,High,"Called from AuthContext and other auth flows (grep matches).","Keep." 
src/services/authService.ts,signUp,67,FALSE_POSITIVE / INTENTIONAL_EXPORT,High,"Used by AuthContext and registration flows (grep matches).","Keep." 
src/services/authService.ts,signOut,99,FALSE_POSITIVE / INTENTIONAL_EXPORT,High,"Used by AuthContext and layouts (Topbar, CashierLayout).","Keep." 
src/services/authService.ts,getCurrentSession,116,FALSE_POSITIVE / INTENTIONAL_EXPORT,High,"Called in code (grep).","Keep." 
src/services/authService.ts,getCurrentUser,132,FALSE_POSITIVE / INTENTIONAL_EXPORT,High,"Used in usersService and other places.","Keep." 
src/services/authService.ts,refreshSession,185,FALSE_POSITIVE / INTENTIONAL_EXPORT,High,"Used by auth flows.","Keep." 
src/services/authService.ts,isAuthenticated,201,FALSE_POSITIVE / INTENTIONAL_EXPORT,High,"Function used in auth checks.","Keep." 
src/services/authService.ts,onAuthStateChange,209,FALSE_POSITIVE / INTENTIONAL_EXPORT,High,"Used by AuthContext and listeners (grep).","Keep." 
src/services/authService.ts,LoginCredentials,4,FALSE_POSITIVE / INTENTIONAL_EXPORT,High,"Type used in same module and referenced in callers.","Keep." 
src/services/authService.ts,SignUpData,10,FALSE_POSITIVE / INTENTIONAL_EXPORT,High,"Type used in signUp and callers.","Keep." 
src/services/authService.ts,AuthResponse,18,FALSE_POSITIVE / INTENTIONAL_EXPORT,High,"Type used across auth service returns.","Keep." 
src/services/authService.ts,PasswordResetRequest,24,FALSE_POSITIVE / INTENTIONAL_EXPORT,High,"Used in reset flow.","Keep." 
src/services/authService.ts,PasswordUpdateRequest,28,FALSE_POSITIVE / INTENTIONAL_EXPORT,High,"Used in update flow.","Keep." 
src/services/companyRegistrationService.ts,checkEmailExists,195,FALSE_POSITIVE / INTENTIONAL_EXPORT,High,"Function used by registration flows (grep).","Keep." 
src/services/companyRegistrationService.ts,checkCommercialRegExists,212,FALSE_POSITIVE / INTENTIONAL_EXPORT,High,"Used in registration flows.","Keep." 
src/services/customersService.ts,getCustomer,42,FALSE_POSITIVE / INTENTIONAL_EXPORT,High,"Service used by pages (grep).","Keep." 
src/services/customersService.ts,createCustomer,62,FALSE_POSITIVE / INTENTIONAL_EXPORT,High,"Used by customers management UI.","Keep." 
src/services/customersService.ts,updateCustomer,78,FALSE_POSITIVE / INTENTIONAL_EXPORT,High,"Used by customers management UI.","Keep." 
src/services/customersService.ts,deleteCustomer,102,FALSE_POSITIVE / INTENTIONAL_EXPORT,High,"Used by customers management UI.","Keep." 
src/services/customersService.ts,searchCustomers,116,FALSE_POSITIVE / INTENTIONAL_EXPORT,High,"Used by search features.","Keep." 
src/services/customersService.ts,Customer,3,FALSE_POSITIVE / INTENTIONAL_EXPORT,High,"Type used widely.","Keep." 
src/services/dashboardService.ts,DashboardAnalytics,3,FALSE_POSITIVE / INTENTIONAL_EXPORT,High,"Type used by ExecutiveDashboard and hooks.","Keep." 
src/services/inventoryService.ts,getLowStockProducts,87,FALSE_POSITIVE / INTENTIONAL_EXPORT,High,"Used by inventory pages/alerts.","Keep." 
src/services/inventoryService.ts,InventoryItem,3,FALSE_POSITIVE / INTENTIONAL_EXPORT,High,"Used across inventory pages.","Keep." 
src/services/inventoryService.ts,Product,14,FALSE_POSITIVE / INTENTIONAL_EXPORT,High,"Type used across product/inventory code.","Keep." 
src/services/invoicesService.ts,getInvoice,54,FALSE_POSITIVE / INTENTIONAL_EXPORT,High,"Used by invoicing pages.","Keep." 
src/services/invoicesService.ts,createInvoice,79,FALSE_POSITIVE / INTENTIONAL_EXPORT,High,"Used by invoicing UI.","Keep." 
src/services/invoicesService.ts,updateInvoice,95,FALSE_POSITIVE / INTENTIONAL_EXPORT,High,"Used by invoicing UI.","Keep." 
src/services/invoicesService.ts,deleteInvoice,119,FALSE_POSITIVE / INTENTIONAL_EXPORT,High,"Used by invoicing UI.","Keep." 
src/services/invoicesService.ts,markInvoiceAsPaid,133,FALSE_POSITIVE / INTENTIONAL_EXPORT,High,"Used by invoicing UI.","Keep." 
src/services/invoicesService.ts,Invoice,3,FALSE_POSITIVE / INTENTIONAL_EXPORT,High,"Type used in invoicing code.","Keep." 
src/services/productsService.ts,getProduct,43,FALSE_POSITIVE / INTENTIONAL_EXPORT,High,"Used by product pages.","Keep." 
src/services/productsService.ts,searchProducts,113,FALSE_POSITIVE / INTENTIONAL_EXPORT,High,"Used by product search UI.","Keep." 
src/services/productsService.ts,getProductByBarcode,136,FALSE_POSITIVE / INTENTIONAL_EXPORT,High,"Used by POS/scanner flows.","Keep." 
src/services/productsService.ts,getProductsWithStock,161,FALSE_POSITIVE / INTENTIONAL_EXPORT,High,"Used by inventory pages.","Keep." 
src/services/salesService.ts,getSalesByShift,93,FALSE_POSITIVE / INTENTIONAL_EXPORT,High,"Used by sales pages.","Keep." 
src/services/salesService.ts,getSalesByDateRange,115,FALSE_POSITIVE / INTENTIONAL_EXPORT,High,"Used by reports.","Keep." 
src/services/salesService.ts,openShift,143,FALSE_POSITIVE / INTENTIONAL_EXPORT,High,"Used by cashier flows.","Keep." 
src/services/salesService.ts,closeShift,178,FALSE_POSITIVE / INTENTIONAL_EXPORT,High,"Used by cashier flows.","Keep." 
src/services/salesService.ts,getCurrentShift,215,FALSE_POSITIVE / INTENTIONAL_EXPORT,High,"Used by cashier pages.","Keep." 
src/services/salesService.ts,getShiftSummary,242,FALSE_POSITIVE / INTENTIONAL_EXPORT,High,"Used by reports.","Keep." 
src/services/salesService.ts,holdSale,291,FALSE_POSITIVE / INTENTIONAL_EXPORT,High,"Used by POS.","Keep." 
src/services/salesService.ts,getHeldSales,321,FALSE_POSITIVE / INTENTIONAL_EXPORT,High,"Used by POS.","Keep." 
src/services/salesService.ts,Shift,34,FALSE_POSITIVE / INTENTIONAL_EXPORT,High,"Type used in sales flows.","Keep." 
src/services/usersService.ts,getCurrentUser,39,FALSE_POSITIVE / INTENTIONAL_EXPORT,High,"Used by contexts and pages.","Keep." 
src/services/usersService.ts,listUsers,66,FALSE_POSITIVE / INTENTIONAL_EXPORT,High,"Used by admin pages.","Keep." 
src/services/usersService.ts,createUser,86,FALSE_POSITIVE / INTENTIONAL_EXPORT,High,"Admin flows.","Keep." 
src/services/usersService.ts,updateUser,102,FALSE_POSITIVE / INTENTIONAL_EXPORT,High,"Admin flows.","Keep." 
src/services/usersService.ts,deleteUser,123,FALSE_POSITIVE / INTENTIONAL_EXPORT,High,"Admin flows.","Keep." 
src/services/usersService.ts,User,3,FALSE_POSITIVE / INTENTIONAL_EXPORT,High,"Type used widely.","Keep." 
src/app/components/ProtectedRoute.tsx,default,76,FALSE_POSITIVE / INTENTIONAL_EXPORT,High,"Used by router (App.tsx) as component export; grep shows usage in App and other routes.","Keep." 
